treatmentID_rep,treatment_level,rep_number,site,swimming,mesh,plastic_glue,top,bottom,side,spawning_day,date,notes
Ambient2,Ambient,1,Cabral ,0,0,0,7,8,4,3,1/16/24,
Ambient2,Ambient,2,Cabral ,0,0,0,5,11,3,3,1/16/24,
Ambient3 ,Ambient,1,Cabral ,1,0,0,4,7,7,3,1/16/24,
Ambient1,Ambient,1,Cabral ,1,0,1,3,13,3,4,1/18/24,also had 2? written for top
Low1,Low,1,Cabral ,1,0,0,1,12,3,4,1/18/24,
High2,High,1,Cabral ,2,0,0,1,8,8,4,1/18/24,
Low2,Low,1,Cabral ,0,0,0,11,5,5,4,1/18/24,
High3 ,High,1,Cabral ,5,0,1,7,4,3,4,1/18/24,
Med1,Medium,1,Cabral ,1,0,0,4,10,4,4,1/18/24,
Low1,Low,2,Cabral ,0,0,0,6,11,1,4,1/18/24,
Ambient1,Ambient,2,Cabral ,0,0,0,4,9,1,4,1/18/24,
Low2,Low,2,Cabral ,0,0,0,8,3,2,4,1/18/24,
High2,High,2,Cabral ,2,0,0,2,1,10,4,1/18/24,
Med1,Medium,2,Cabral ,2,0,1,4,13,1,4,1/18/24,
High3,High,2,Cabral ,0,0,0,1,8,7,4,1/18/24,
Med3,Medium,1,Cabral ,1,0,0,9,11,2,4,1/18/24,
High1,High,1,Cabral ,1,0,0,5,6,7,4,1/18/24,
Ambient2,Ambient,1,Cabral ,0,0,0,6,11,2,4,1/18/24,
Ambient2,Ambient,2,Cabral ,0,0,0,1,14,3,4,1/18/24,
Med2,Medium,1,Cabral ,0,0,0,8,12,2,4,1/18/24,
Med2,Medium,2,Cabral ,13,0,0,8,1,2,4,1/18/24,
Ambient3 ,Ambient,1,Cabral ,5,0,0,2,12,2,4,1/18/24,
Low3,Low,1,Cabral ,1,0,0,13,3,3,4,1/18/24,
Ambient1,Ambient,1,Cabral ,1,0,0,1,15,2,5,1/19/24,
High3 ,High,1,Cabral ,0,0,0,3,12,2,5,1/19/24,
Low1,Low,1,Cabral ,0,0,2,7,5,6,5,1/19/24,
Ambient1,Ambient,2,Cabral ,0,0,0,2,12,4,5,1/19/24,
Low1,Low,2,Cabral ,0,1,0,1,14,3,5,1/19/24,
High2,High,1,Cabral ,0,0,0,6,5,6,5,1/19/24,
High2,High,2,Cabral ,1,0,0,13,6,0,5,1/19/24,
Med1,Medium,1,Cabral ,0,0,0,3,12,3,5,1/19/24,
Med1,Medium,2,Cabral ,0,0,0,3,12,3,5,1/19/24,
Low2,Low,1,Cabral ,0,0,0,4,12,3,5,1/19/24,
Low2,Low,2,Cabral ,0,0,0,7,4,3,5,1/19/24,
Ambient3 ,Ambient,1,Cabral ,0,0,0,11,5,1,5,1/19/24,
Low3,Low,1,Cabral ,1,0,0,3,10,4,5,1/19/24,
Med2,Medium,1,Cabral ,0,0,0,6,5,5,5,1/19/24,
Med2,Medium,2,Cabral ,2,1,0,0,14,0,5,1/19/24,
High1,High,1,Cabral ,0,0,1,7,2,9,5,1/19/24,
High1,High,2,Cabral ,0,0,1,4,10,4,5,1/19/24,
Med3,Medium,1,Cabral ,0,0,0,3,13,1,5,1/19/24,
Ambient2,Ambient,1,Cabral ,0,0,0,2,15,2,5,1/19/24,
Ambient2,Ambient,2,Cabral ,0,0,0,8,9,3,5,1/19/24,
Low1,Low,1,Cabral ,3,0,1,3,10,4,6,1/20/24,
Ambient1,Ambient,1,Cabral ,0,0,0,10,13,6,6,1/20/24,
Low1,Low,2,Cabral ,1,0,0,10,0,3,6,1/20/24,
High3,High,1,Cabral ,1,1,1,9,8,1,6,1/20/24,
Low2,Low,1,Cabral ,3,0,0,4,11,1,6,1/20/24,
Low2,Low,2,Cabral ,1,0,0,3,17,8,6,1/20/24,
High2,High,1,Cabral ,2,0,0,3,14,3,6,1/20/24,
High2,High,2,Cabral ,2,0,1,4,9,2,6,1/20/24,
Ambient2,Ambient,1,Cabral ,4,0,1,7,0,0,6,1/20/24,
Ambient2,Ambient,2,Cabral ,6,0,2,11,0,1,6,1/20/24,
Med1,Medium,1,Cabral ,4,0,0,2,8,3,6,1/20/24,
Med1,Medium,2,Cabral ,2,0,3,1,9,3,6,1/20/24,
Med2,Medium,1,Cabral ,4,2,0,2,10,1,6,1/20/24,
Med2,Medium,2,Cabral ,0,0,1,4,13,0,6,1/20/24,
High1,High,1,Cabral ,3,0,0,9,0,7,6,1/20/24,
High1,High,2,Cabral ,7,0,2,2,10,4,6,1/20/24,
Ambient3 ,Ambient,1,Cabral ,2,1,1,5,10,2,6,1/20/24,
Ambient3 ,Ambient,2,Cabral ,6,0,0,2,10,2,6,1/20/24,
Low3,Low,1,Cabral ,1,0,0,8,4,5,6,1/20/24,
Med3,Medium,1,Cabral ,1,1,0,10,0,8,6,1/20/24,
Med1,Medium,1,Varari,3,3,3,1,5,0,1,2/16/24,
Amb1,Ambient,1,Varari,5,4,7,2,0,2,1,2/16/24,
Amb1,Ambient,2,Varari,3,5,6,0,0,1,1,2/16/24,
Med1,Medium,2,Varari,1,0,11,2,3,3,1,2/16/24,
High1,High,1,Varari,5,10,3,1,1,0,1,2/16/24,
High1,High,2,Varari,0,5,11,1,3,1,1,2/16/24,
Low1,Low,1,Varari,6,2,3,2,3,1,1,2/16/24,
Low1,Low,2,Varari,3,5,2,3,0,3,1,2/16/24,
Low2,Low,1,Varari,8,8,6,0,1,0,1,2/16/24,
Low2,Low,2,Varari,5,9,7,0,0,0,1,2/16/24,
High2,High,1,Varari,1,0,18,1,0,0,1,2/16/24,
High2,High,2,Varari,1,6,18,0,1,0,1,2/16/24,
Med2,Medium,1,Varari,7,0,10,1,0,0,1,2/16/24,
Med2,Medium,2,Varari,5,4,8,0,1,0,1,2/16/24,
Amb2,Ambient,1,Varari,1,2,7,0,10,0,1,2/16/24,
Amb2,Ambient,2,Varari,4,4,2,1,3,1,1,2/16/24,
Amb1,Ambient,3,Varari,12,1,10,1,0,0,1,2/16/24,
Med1,Medium,3,Varari,2,5,1,3,4,1,1,2/16/24,
Med2,Medium,3,Varari,4,7,4,0,1,0,1,2/16/24,
High2,High,3,Varari,1,7,7,0,1,0,1,2/16/24,
Low1,Low,3,Varari,1,2,7,2,3,1,1,2/16/24,
High1,High,3,Varari,1,7,10,0,2,0,1,2/16/24,
Amb2,Ambient,3,Varari,3,6,10,0,1,1,1,2/16/24,
Low2,Low,3,Varari,4,11,4,0,0,0,1,2/16/24,
High1,High,1,Varari,1,1,1,1,14,2,2,2/17/24,
High1,High,2,Varari,0,11,0,2,0,4,2,2/17/24,
Amb1,Ambient,1,Varari,4,1,3,0,6,5,2,2/17/24,
Amb1,Ambient,2,Varari,2,1,0,2,11,2,2,2/17/24,
Low1,Low,1,Varari,3,0,4,2,5,2,2,2/17/24,
Low1,Low,2,Varari,8,1,1,0,5,4,2,2/17/24,
Med1,Medium,1,Varari,4,0,3,2,3,1,2,2/17/24,
Med1,Medium,2,Varari,3,0,7,0,8,3,2,2/17/24,
Med2,Medium,1,Varari,4,0,2,0,14,1,2,2/17/24,
Med2,Medium,2,Varari,9,0,4,0,0,5,2,2/17/24,
Low2,Low,1,Varari,16,0,1,1,0,1,2,2/17/24,
Low2,Low,2,Varari,7,3,1,1,5,0,2,2/17/24,
High2,High,1,Varari,3,2,3,0,7,0,2,2/17/24,
High1,High,2,Varari,2,0,0,6,10,1,2,2/17/24,
High2,High,2,Varari,2,0,0,6,10,1,2,2/17/24,
Amb2,Ambient,1,Varari,4,1,2,0,3,1,2,2/17/24,
Amb2,Ambient,2,Varari,7,0,1,4,7,1,2,2/17/24,
Med2,Medium,3,Varari,4,0,6,3,0,4,2,2/17/24,
Low2,Low,3,Varari,13,0,0,1,4,2,2,2/17/24,
High2,High,3,Varari,13,0,1,2,2,1,2,2/17/24,
Amb2,Ambient,3,Varari,7,1,0,1,8,1,2,2/17/24,
