treatmentID_rep,treatment_level,rep_number,swimming,mesh,plastic,top,bottom,side,spawning_day,date,notes
Med1,Medium,2,2,1,0,6,5,4,3,1/16/24,
Med2,Medium,1,0,0,0,3,11,4,3,1/16/24,
Med2,Medium,2,0,0,0,0,0,0,3,1/16/24,
Med3,Medium,1,3,0,0,3,7,2,3,1/16/24,
High1,High,1,1,0,1,4,6,5,3,1/16/24,
High1,High,2,1,0,1,3,8,6,3,1/16/24,
High2,High,1,6,0,0,5,4,4,3,1/16/24,
High2,High,2,0,0,0,4,6,9,3,1/16/24,
High3,High,1,0,0,1,2,2,14,3,1/16/24,
Ambient1,Ambient,1,1,0,0,0,15,0,3,1/16/24,
Ambient1,Ambient,2,0,0,0,9,2,6,3,1/16/24,
Ambient2,Ambient,1,0,0,0,7,8,4,3,1/16/24,
Ambient2,Ambient,2,0,0,0,5,11,3,3,1/16/24,
Ambient3 ,Ambient,1,1,0,0,4,7,7,3,1/16/24,
Ambient1,Ambient,1,1,0,1,3,13,3,4,1/18/24,also had 2? written for top
Low1,Low,1,1,0,0,1,12,3,4,1/18/24,
High2,High,1,2,0,0,1,8,8,4,1/18/24,
Low2,Low,1,0,0,0,11,5,5,4,1/18/24,
High3 ,High,1,5,0,1,7,4,3,4,1/18/24,
Med1,Medium,1,1,0,0,4,10,4,4,1/18/24,
Low1,Low,2,0,0,0,6,11,1,4,1/18/24,
Ambient1,Ambient,2,0,0,0,4,9,1,4,1/18/24,
Low2,Low,2,0,0,0,8,3,2,4,1/18/24,
High2,High,2,2,0,0,2,1,10,4,1/18/24,
Med1,Medium,2,2,0,1,4,13,1,4,1/18/24,
High3,High,2,0,0,0,1,8,7,4,1/18/24,
Med3,Medium,1,1,0,0,9,11,2,4,1/18/24,
High1,High,1,1,0,0,5,6,7,4,1/18/24,
Ambient2,Ambient,1,0,0,0,6,11,2,4,1/18/24,
Ambient2,Ambient,2,0,0,0,1,14,3,4,1/18/24,
Med2,Medium,1,0,0,0,8,12,2,4,1/18/24,
Med2,Medium,2,13,0,0,8,1,2,4,1/18/24,
Ambient3 ,Ambient,1,5,0,0,2,12,2,4,1/18/24,
Low3,Low,1,1,0,0,13,3,3,4,1/18/24,
Ambient1,Ambient,1,1,0,0,1,15,2,5,1/19/24,
High3 ,High,1,0,0,0,3,12,2,5,1/19/24,
Low1,Low,1,0,0,2,7,5,6,5,1/19/24,
Ambient1,Ambient,2,0,0,0,2,12,4,5,1/19/24,
Low1,Low,2,0,1,0,1,14,3,5,1/19/24,
High2,High,1,0,0,0,6,5,6,5,1/19/24,
High2,High,2,1,0,0,13,6,0,5,1/19/24,
Med1,Medium,1,0,0,0,3,12,3,5,1/19/24,
Med1,Medium,2,0,0,0,3,12,3,5,1/19/24,
Low2,Low,1,0,0,0,4,12,3,5,1/19/24,
Low2,Low,2,0,0,0,7,4,3,5,1/19/24,
Ambient3 ,Ambient,1,0,0,0,11,5,1,5,1/19/24,
Low3,Low,1,1,0,0,3,10,4,5,1/19/24,
Med2,Medium,1,0,0,0,6,5,5,5,1/19/24,
Med2,Medium,2,2,1,0,0,14,0,5,1/19/24,
High1,High,1,0,0,1,7,2,9,5,1/19/24,
High1,High,2,0,0,1,4,10,4,5,1/19/24,
Med3,Medium,1,0,0,0,3,13,1,5,1/19/24,
Ambient2,Ambient,1,0,0,0,2,15,2,5,1/19/24,
Ambient2,Ambient,2,0,0,0,8,9,3,5,1/19/24,
Low1,Low,1,3,0,1,3,10,4,6,1/20/24,
Ambient1,Ambient,1,0,0,0,10,13,6,6,1/20/24,
Low1,Low,2,1,0,0,10,0,3,6,1/20/24,
High3,High,1,1,1,1,9,8,1,6,1/20/24,
Low2,Low,1,3,0,0,4,11,1,6,1/20/24,
Low2,Low,2,1,0,0,3,17,8,6,1/20/24,
High2,High,1,2,0,0,3,14,3,6,1/20/24,
High2,High,2,2,0,1,4,9,2,6,1/20/24,
Ambient2,Ambient,1,4,0,1,7,0,0,6,1/20/24,
Ambient2,Ambient,2,6,0,2,11,0,1,6,1/20/24,
Med1,Medium,1,4,0,0,2,8,3,6,1/20/24,
Med1,Medium,2,2,0,3,1,9,3,6,1/20/24,
Med2,Medium,1,4,2,0,2,10,1,6,1/20/24,
Med2,Medium,2,0,0,1,4,13,0,6,1/20/24,
High1,High,1,3,0,0,9,0,7,6,1/20/24,
High1,High,2,7,0,2,2,10,4,6,1/20/24,
Ambient3 ,Ambient,1,2,1,1,5,10,2,6,1/20/24,
Ambient3 ,Ambient,2,6,0,0,2,10,2,6,1/20/24,
Low3,Low,1,1,0,0,8,4,5,6,1/20/24,
Med3,Medium,1,1,1,0,10,0,8,6,1/20/24,
