treatmentID_rep,treatment_level,rep_number,site,swimming,mesh,plastic_glue,top,bottom,side,spawning_day,date,notes,dead,settled,countcheck,TA,phosphate,silicate,NN,ammonia,salinity
Med1,Medium,2,Cabral,7,0,0,3,1,7,2,1/15/24,NA,2,11,13,2399.357507,0.21,7.03,0.85,0.1,34.06
Med2,Medium,1,Cabral,1,0,0,8,2,8,2,1/15/24,NA,1,18,19,2396.125451,0.26,6.14,0.86,0.97,34.09
Med3,Medium,1,Cabral,1,0,0,2,10,7,2,1/15/24,NA,0,19,19,2410.296189,0.3,6.25,1.75,2.01,34.11
Med3,Medium,2,Cabral,0,0,0,2,12,0,2,1/15/24,NA,6,14,20,2410.296189,0.3,6.25,1.75,2.01,34.11
High1,High,1,Cabral,0,0,0,6,11,1,2,1/15/24,NA,2,18,20,2491.554806,0.33,11.88,1.93,1.47,33.21
High2,High,1,Cabral,1,0,0,5,0,7,2,1/15/24,NA,7,12,19,2480.993944,0.27,10.76,1.72,2.7,33.35
High2,High,2,Cabral,2,3,0,5,5,4,2,1/15/24,NA,1,17,18,2480.993944,0.27,10.76,1.72,2.7,33.35
High3,High,1,Cabral,6,0,0,4,0,8,2,1/15/24,NA,2,12,14,2481.625196,0.29,9.61,1.3,3.88,33.38
High3,High,2,Cabral,12,0,0,0,3,4,2,1/15/24,NA,1,7,8,2481.625196,0.29,9.61,1.3,3.88,33.38
Ambient1,Ambient,1,Cabral,6,1,0,1,6,5,2,1/15/24,NA,1,13,14,2358.733127,0.13,2.73,0.38,0.35,34.74
Ambient1,Ambient,2,Cabral,2,1,1,5,5,3,2,1/15/24,NA,3,15,18,2358.733127,0.13,2.73,0.38,0.35,34.74
Ambient2,Ambient,1,Cabral,1,0,0,9,0,8,2,1/15/24,NA,2,17,19,2355.913455,0.19,1.99,0.35,1.49,34.61
Ambient2,Ambient,2,Cabral,6,0,0,2,3,7,2,1/15/24,"3 swimming in stage 1, 3 in stage 2",2,12,14,2355.913455,0.19,1.99,0.35,1.49,34.61
Ambient3,Ambient,1,Cabral,6,0,0,2,5,7,2,1/15/24,NA,0,14,14,2363.679493,0.21,2.18,0.3,14,34.61
Low1,Low,1,Cabral,0,0,3,15,0,6,3,1/16/24,NA,0,20,20,2373.045147,0.26,3.3,0.43,7.19,34.61
Low1,Low,2,Cabral,1,0,0,6,0,12,3,1/16/24,NA,1,18,19,2373.045147,0.26,3.3,0.43,7.19,34.61
Low2,Low,1,Cabral,1,0,0,4,7,0,3,1/16/24,NA,8,11,19,2375.357579,0.21,3.34,0.41,1.66,34.56
Low2,Low,2,Cabral,0,0,0,13,0,3,3,1/16/24,NA,4,16,20,2375.357579,0.21,3.34,0.41,1.66,34.56
Low3,Low,1,Cabral,1,0,0,2,0,13,3,1/16/24,NA,4,15,19,2378.428297,0.19,2.85,0.46,2.16,34.57
Med1,Medium,1,Cabral,0,0,0,14,0,3,3,1/16/24,NA,3,17,20,2405.60747,0.31,5.72,0.94,3.55,34.24
Med1,Medium,2,Cabral,2,1,0,6,5,4,3,1/16/24,NA,2,16,18,2405.60747,0.31,5.72,0.94,3.55,34.24
Med2,Medium,1,Cabral,0,0,0,3,11,4,3,1/16/24,NA,2,18,20,2405.785271,0.26,5.23,0.71,1.71,34.23
Med3,Medium,1,Cabral,3,0,0,3,7,2,3,1/16/24,NA,5,12,17,2416.719756,0.26,4.4,1.16,13.24,34.22
High1,High,1,Cabral,1,0,1,4,6,5,3,1/16/24,NA,3,16,19,2490.201695,0.3,10.09,1.18,0.68,33.37
High1,High,2,Cabral,1,0,1,3,8,6,3,1/16/24,NA,1,18,19,2488.784105,0.23,8.34,1.07,3.68,33.46
High2,High,1,Cabral,6,0,0,5,4,4,3,1/16/24,NA,1,13,14,2488.784105,0.23,8.34,1.07,3.68,33.46
High2,High,2,Cabral,0,0,0,4,6,9,3,1/16/24,NA,1,19,20,2489.588997,0.31,11.48,1.24,5.47,33.47
High3,High,1,Cabral,0,0,1,2,2,14,3,1/16/24,NA,1,19,20,2489.588997,0.31,11.48,1.24,5.47,33.47
Ambient1,Ambient,1,Cabral,1,0,0,0,15,0,3,1/16/24,NA,4,15,19,2355.118765,0.29,3.11,1.16,5.04,34.8
Ambient1,Ambient,2,Cabral,0,0,0,9,2,6,3,1/16/24,NA,3,17,20,2355.118765,0.29,3.11,1.16,5.04,34.8
Ambient2,Ambient,1,Cabral,0,0,0,7,8,4,3,1/16/24,NA,1,19,20,2358.365651,0.21,1.9,0.59,4.87,34.74
Ambient2,Ambient,2,Cabral,0,0,0,5,11,3,3,1/16/24,NA,1,19,20,2358.365651,0.21,1.9,0.59,4.87,34.74
Ambient3,Ambient,1,Cabral,1,0,0,4,7,7,3,1/16/24,NA,1,18,19,NA,0.17,1.71,0.32,1.79,34.75
Ambient1,Ambient,1,Cabral,1,0,1,3,13,3,4,1/18/24,also had 2? written for top,0,20,20,2358.967392,0.25,2.41,0.34,0.39,35.02
Low1,Low,1,Cabral,1,0,0,1,12,3,4,1/18/24,NA,3,16,19,2379.100173,0.21,3.54,0.48,0.41,34.94
High2,High,1,Cabral,2,0,0,1,8,8,4,1/18/24,NA,1,17,18,2506.426092,0.4,12.34,0.5,0.66,33.65
Low2,Low,1,Cabral,0,0,0,11,5,5,4,1/18/24,NA,0,20,20,2385.288505,0.3,3.65,0.5,0.86,34.95
High3,High,1,Cabral,5,0,1,7,4,3,4,1/18/24,NA,0,15,15,2517.068613,0.43,12.47,0.4,0.47,33.74
Med1,Medium,1,Cabral,1,0,0,4,10,4,4,1/18/24,NA,1,18,19,2419.41641,0.34,5.99,0.43,0.72,34.63
Low1,Low,2,Cabral,0,0,0,6,11,1,4,1/18/24,NA,2,18,20,2379.100173,0.21,3.54,0.48,0.41,34.94
Ambient1,Ambient,2,Cabral,0,0,0,4,9,1,4,1/18/24,NA,6,14,20,2358.967392,0.25,2.41,0.34,0.39,35.02
Low2,Low,2,Cabral,0,0,0,8,3,2,4,1/18/24,NA,7,13,20,2385.288505,0.3,3.65,0.5,0.86,34.95
High2,High,2,Cabral,2,0,0,2,1,10,4,1/18/24,NA,5,13,18,2506.426092,0.4,12.34,0.5,0.66,33.65
Med1,Medium,2,Cabral,2,0,1,4,13,1,4,1/18/24,NA,0,19,19,2419.41641,0.34,5.99,0.43,0.72,34.63
High3,High,2,Cabral,0,0,0,1,8,7,4,1/18/24,NA,4,16,20,2517.068613,0.43,12.47,0.4,0.47,33.74
Med3,Medium,1,Cabral,1,0,0,9,11,2,4,1/18/24,NA,0,20,20,2412.764221,0.22,4.99,0.38,2.61,34.4
High1,High,1,Cabral,1,0,0,5,6,7,4,1/18/24,NA,1,18,19,2501.31282,0.33,9.31,0.37,1.66,33.59
Ambient2,Ambient,1,Cabral,0,0,0,6,11,2,4,1/18/24,NA,1,19,20,2367.106351,0.24,2.25,0.48,0.57,34.94
Ambient2,Ambient,2,Cabral,0,0,0,1,14,3,4,1/18/24,NA,2,18,20,2367.106351,0.24,2.25,0.48,0.57,34.94
Med2,Medium,1,Cabral,0,0,0,8,12,2,4,1/18/24,NA,0,20,20,2425.863189,0.3,6.03,0.45,0.74,34.5
Med2,Medium,2,Cabral,13,0,0,8,1,2,4,1/18/24,NA,0,11,11,2425.863189,0.3,6.03,0.45,0.74,34.5
Ambient3,Ambient,1,Cabral,5,0,0,2,12,2,4,1/18/24,NA,0,16,16,2370.85417,0.24,2.27,0.52,0.38,35.01
Low3,Low,1,Cabral,1,0,0,13,3,3,4,1/18/24,NA,0,19,19,2381.405777,0.23,2.87,0.43,1.41,34.83
Ambient1,Ambient,1,Cabral,1,0,0,1,15,2,5,1/19/24,NA,1,18,19,2382.725319,0.16,1.44,0.27,0.28,35.1
High3,High,1,Cabral,0,0,0,3,12,2,5,1/19/24,NA,3,17,20,2526.353862,0.36,11.97,0.33,0.57,33.75
Low1,Low,1,Cabral,0,0,2,7,5,6,5,1/19/24,NA,0,20,20,2387.324787,0.24,2.89,0.3,0.2,34.95
Ambient1,Ambient,2,Cabral,0,0,0,2,12,4,5,1/19/24,NA,2,18,20,2382.725319,0.16,1.44,0.27,0.28,35.1
Low1,Low,2,Cabral,0,1,0,1,14,3,5,1/19/24,NA,1,19,20,2387.324787,0.24,2.89,0.3,0.2,34.95
High2,High,1,Cabral,0,0,0,6,5,6,5,1/19/24,NA,3,17,20,2509.315091,0.37,12.04,0.34,0.71,33.71
High2,High,2,Cabral,1,0,0,13,6,0,5,1/19/24,NA,0,19,19,2509.315091,0.37,12.04,0.34,0.71,33.71
Med1,Medium,1,Cabral,0,0,0,3,12,3,5,1/19/24,NA,2,18,20,2425.262597,0.22,5.11,0.19,0.23,34.78
Med1,Medium,2,Cabral,0,0,0,3,12,3,5,1/19/24,NA,2,18,20,2425.262597,0.22,5.11,0.19,0.23,34.78
Low2,Low,1,Cabral,0,0,0,4,12,3,5,1/19/24,NA,1,19,20,2395.762882,0.25,2.95,0.25,0.21,34.92
Low2,Low,2,Cabral,0,0,0,7,4,3,5,1/19/24,NA,6,14,20,2395.762882,0.25,2.95,0.25,0.21,34.92
Ambient3,Ambient,1,Cabral,0,0,0,11,5,1,5,1/19/24,NA,3,17,20,2382.756765,0.19,1.51,0.27,0.26,35.1
Low3,Low,1,Cabral,1,0,0,3,10,4,5,1/19/24,NA,2,17,19,2391.436975,0.24,2.83,0.32,0.8,34.91
Med2,Medium,1,Cabral,0,0,0,6,5,5,5,1/19/24,NA,4,16,20,2423.574366,0.29,5.68,0.36,2.41,34.55
Med2,Medium,2,Cabral,2,1,0,0,14,0,5,1/19/24,NA,3,15,18,2423.574366,0.29,5.68,0.36,2.41,34.55
High1,High,1,Cabral,0,0,1,7,2,9,5,1/19/24,NA,1,19,20,2562.955815,0.36,11.85,0.4,0.85,33.66
High1,High,2,Cabral,0,0,1,4,10,4,5,1/19/24,NA,1,19,20,2562.955815,0.36,11.85,0.4,0.85,33.66
Med3,Medium,1,Cabral,0,0,0,3,13,1,5,1/19/24,NA,3,17,20,2429.731091,0.27,5.29,0.32,0.88,34.6
Ambient2,Ambient,1,Cabral,0,0,0,2,15,2,5,1/19/24,NA,1,19,20,2375.150673,0.2,1.42,0.22,0.28,35.21
Ambient2,Ambient,2,Cabral,0,0,0,8,9,3,5,1/19/24,NA,0,20,20,2375.150673,0.2,1.42,0.22,0.28,35.21
Low1,Low,1,Cabral,3,0,1,3,10,4,6,1/20/24,NA,0,18,18,2394.916134,0.16,2.15,0.2,0.33,34.96
Ambient1,Ambient,1,Cabral,0,0,0,10,13,6,6,1/20/24,NA,0,20,20,2389.587896,0.18,1.37,0.27,0.34,35.36
Low1,Low,2,Cabral,1,0,0,10,0,3,6,1/20/24,NA,6,13,19,2394.916134,0.16,2.15,0.2,0.33,34.96
High3,High,1,Cabral,1,1,1,9,8,1,6,1/20/24,NA,0,20,20,2513.716178,0.31,9.12,0.24,1.56,33.18
Low2,Low,1,Cabral,3,0,0,4,11,1,6,1/20/24,NA,1,16,17,2399.761484,0.22,2.68,0.29,1.23,35.14
Low2,Low,2,Cabral,1,0,0,3,17,8,6,1/20/24,NA,0,20,20,2399.761484,0.22,2.68,0.29,1.23,35.14
High2,High,1,Cabral,2,0,0,3,14,3,6,1/20/24,NA,0,20,20,2507.630024,0.35,11.41,0.32,1.13,33.89
High2,High,2,Cabral,2,0,1,4,9,2,6,1/20/24,NA,2,16,18,2507.630024,0.35,11.41,0.32,1.13,33.89
Ambient2,Ambient,1,Cabral,4,0,1,7,0,0,6,1/20/24,NA,8,8,16,2383.067231,0.19,1.33,0.25,0.62,34.8
Ambient2,Ambient,2,Cabral,6,0,2,11,0,1,6,1/20/24,NA,0,14,14,2383.067231,0.19,1.33,0.25,0.62,34.8
Med1,Medium,1,Cabral,4,0,0,2,8,3,6,1/20/24,NA,3,13,16,2425.279994,0.2,3.86,0.23,4.19,34.78
Med1,Medium,2,Cabral,2,0,3,1,9,3,6,1/20/24,NA,2,16,18,2425.279994,0.2,3.86,0.23,4.19,34.78
Med2,Medium,1,Cabral,4,2,0,2,10,1,6,1/20/24,NA,1,15,16,2429.080396,0.28,5.31,0.33,1.67,34.77
Med2,Medium,2,Cabral,0,0,1,4,13,0,6,1/20/24,NA,2,18,20,2429.080396,0.28,5.31,0.33,1.67,34.77
High1,High,1,Cabral,3,0,0,9,0,7,6,1/20/24,NA,1,16,17,2513.136787,0.37,11.17,0.27,0.64,33.93
High1,High,2,Cabral,7,0,2,2,10,4,6,1/20/24,NA,0,18,18,2513.136787,0.37,11.17,0.27,0.64,33.93
Ambient3,Ambient,1,Cabral,2,1,1,5,10,2,6,1/20/24,NA,0,19,19,2374.258371,0.2,1.27,0.26,0.28,35.27
Ambient3,Ambient,2,Cabral,6,0,0,2,10,2,6,1/20/24,NA,0,14,14,2374.258371,0.2,1.27,0.26,0.28,35.27
Low3,Low,1,Cabral,1,0,0,8,4,5,6,1/20/24,NA,2,17,19,2393.322148,0.21,3.13,0.29,0.53,34.8
Med3,Medium,1,Cabral,1,1,0,10,0,8,6,1/20/24,NA,0,19,19,2435.072101,0.21,4.35,0.24,0.44,34.78
Med1,Medium,1,Varari,3,3,3,1,5,0,1,2/16/24,NA,5,12,17,2419.764158,0.38,12.98,1.97,0.56,35.33
Amb1,Ambient,1,Varari,5,4,7,2,0,2,1,2/16/24,NA,0,15,15,2370.591071,0.3,6.85,1.39,1.11,35.72
Amb1,Ambient,2,Varari,3,5,6,0,0,1,1,2/16/24,NA,5,12,17,2370.591071,0.3,6.85,1.39,1.11,35.72
Med1,Medium,2,Varari,1,0,11,2,3,3,1,2/16/24,NA,0,19,19,2419.764158,0.38,12.98,1.97,0.56,35.33
High1,High,1,Varari,5,10,3,1,1,0,1,2/16/24,NA,0,15,15,2488.374697,0.44,27.03,3.81,0.49,34.5
High1,High,2,Varari,0,5,11,1,3,1,1,2/16/24,NA,0,20,20,2488.374697,0.44,27.03,3.81,0.49,34.5
Low1,Low,1,Varari,6,2,3,2,3,1,1,2/16/24,NA,3,11,14,2380.847359,0.33,7.45,1.32,0.38,35.66
Low1,Low,2,Varari,3,5,2,3,0,3,1,2/16/24,NA,4,13,17,2380.847359,0.33,7.45,1.32,0.38,35.66
Low2,Low,1,Varari,8,8,6,0,1,0,1,2/16/24,NA,0,15,15,2385.935915,0.52,7.67,1.53,0.56,35.7
Low2,Low,2,Varari,5,9,7,0,0,0,1,2/16/24,NA,0,16,16,2385.935915,0.52,7.67,1.53,0.56,35.7
High2,High,1,Varari,1,0,18,1,0,0,1,2/16/24,NA,0,19,19,2520.91522,0.34,26.55,3.11,0.03,34.47
High2,High,2,Varari,1,6,18,0,1,0,1,2/16/24,NA,0,20,20,2520.91522,0.34,26.55,3.11,0.03,34.47
Med2,Medium,1,Varari,7,0,10,1,0,0,1,2/16/24,NA,2,11,13,2467.695813,2.08,14.64,5.79,27.09,35.35
Med2,Medium,2,Varari,5,4,8,0,1,0,1,2/16/24,NA,2,13,15,2467.695813,2.08,14.64,5.79,27.09,35.35
Amb2,Ambient,1,Varari,1,2,7,0,10,0,1,2/16/24,NA,0,19,19,2375.564851,0.34,5.5,0.99,0.22,35.92
Amb2,Ambient,2,Varari,4,4,2,1,3,1,1,2/16/24,NA,5,11,16,2375.564851,0.34,5.5,0.99,0.22,35.92
Amb1,Ambient,3,Varari,12,1,10,1,0,0,1,2/16/24,NA,0,12,12,2370.591071,0.3,6.85,1.39,1.11,35.72
Med1,Medium,3,Varari,2,5,1,3,4,1,1,2/16/24,NA,4,14,18,2419.764158,0.38,12.98,1.97,0.56,35.33
Med2,Medium,3,Varari,4,7,4,0,1,0,1,2/16/24,NA,4,12,16,2467.695813,2.08,14.64,5.79,27.09,35.35
High2,High,3,Varari,1,7,7,0,1,0,1,2/16/24,NA,4,15,19,2520.91522,0.34,26.55,3.11,0.03,34.47
Low1,Low,3,Varari,1,2,7,2,3,1,1,2/16/24,NA,4,15,19,2380.847359,0.33,7.45,1.32,0.38,35.66
High1,High,3,Varari,1,7,10,0,2,0,1,2/16/24,NA,0,19,19,2488.374697,0.44,27.03,3.81,0.49,34.5
Amb2,Ambient,3,Varari,3,6,10,0,1,1,1,2/16/24,NA,0,18,18,2375.564851,0.34,5.5,0.99,0.22,35.92
Low2,Low,3,Varari,4,11,4,0,0,0,1,2/16/24,NA,1,15,16,2385.935915,0.52,7.67,1.53,0.56,35.7
High1,High,1,Varari,1,1,1,1,14,2,2,2/17/24,NA,0,19,19,2490.653024,1.4,21.49,2.95,15.73,34.08
High1,High,2,Varari,0,11,0,2,0,4,2,2/17/24,NA,3,17,20,2490.653024,1.4,21.49,2.95,15.73,34.08
Amb1,Ambient,1,Varari,4,1,3,0,6,5,2,2/17/24,NA,1,15,16,2359.482441,4.28,4.14,3.28,76.12,35.87
Amb1,Ambient,2,Varari,2,1,0,2,11,2,2,2/17/24,NA,2,16,18,2359.482441,4.28,4.14,3.28,76.12,35.87
Low1,Low,1,Varari,3,0,4,2,5,2,2,2/17/24,NA,4,13,17,2383.705884,5.61,5.07,3.7,80.83,35.68
Low1,Low,2,Varari,8,1,1,0,5,4,2,2/17/24,NA,1,11,12,2383.705884,5.61,5.07,3.7,80.83,35.68
Med1,Medium,1,Varari,4,0,3,2,3,1,2,2/17/24,NA,7,9,16,2411.051568,4.67,9.83,4.59,87.34,35.29
Med1,Medium,2,Varari,3,0,7,0,8,3,2,2/17/24,NA,0,18,18,2411.051568,4.67,9.83,4.59,87.34,35.29
Med2,Medium,1,Varari,4,0,2,0,14,1,2,2/17/24,NA,0,17,17,2399.914723,1.14,11.13,1.62,13.12,35.11
Med2,Medium,2,Varari,9,0,4,0,0,5,2,2/17/24,NA,2,9,11,2399.914723,1.14,11.13,1.62,13.12,35.11
Low2,Low,1,Varari,16,0,1,1,0,1,2,2/17/24,NA,1,3,4,2380.030562,2.45,6.89,2.6,48.98,35.57
Low2,Low,2,Varari,7,3,1,1,5,0,2,2/17/24,NA,3,10,13,2380.030562,2.45,6.89,2.6,48.98,35.57
High2,High,1,Varari,3,2,3,0,7,0,2,2/17/24,NA,5,12,17,2482.3544,2.09,21.46,5.44,51.94,34.38
High2,High,2,Varari,2,0,0,6,10,1,2,2/17/24,NA,1,17,18,2482.3544,2.09,21.46,5.44,51.94,34.38
Amb2,Ambient,1,Varari,4,1,2,0,3,1,2,2/17/24,NA,9,7,16,2365.080101,1.86,3.77,2.17,23.61,35.77
Amb2,Ambient,2,Varari,7,0,1,4,7,1,2,2/17/24,NA,0,13,13,2365.080101,1.86,3.77,2.17,23.61,35.77
Med2,Medium,3,Varari,4,0,6,3,0,4,2,2/17/24,NA,3,13,16,2399.914723,1.14,11.13,1.62,13.12,35.11
Low2,Low,3,Varari,13,0,0,1,4,2,2,2/17/24,NA,0,7,7,2380.030562,2.45,6.89,2.6,48.98,35.57
High2,High,3,Varari,13,0,1,2,2,1,2,2/17/24,NA,1,6,7,2482.3544,2.09,21.46,5.44,51.94,34.38
Amb2,Ambient,3,Varari,7,1,0,1,8,1,2,2/17/24,NA,2,11,13,2365.080101,1.86,3.77,2.17,23.61,35.77
