comm_type,Location,CowTagID,percent_cover
Rubble,Varari,V11,12.85714286
Rubble,Varari,V12,15.27777778
Rubble,Varari,V13,2.764976959
Rubble,Varari,V14,0
Rubble,Varari,V15,6.422018349
Rubble,Varari,V16,9.677419355
Rubble,Varari,V17,0
Rubble,Varari,V18,7.035175879
Rubble,Varari,V19,8.372093023
Rubble,Varari,V2,3.03030303
Rubble,Varari,V20,0
Rubble,Varari,V3,1.709401709
Rubble,Varari,V4,21.14285714
Rubble,Varari,V5,3.375527426
Rubble,Varari,V6,6.912442396
Rubble,Varari,V7,2.232142857
Rubble,Varari,V8,1.960784314
Rubble,Varari,V9,4.324324324
Rubble,Varari,VSEEP,0
Sand,Cabral,C1,2.336448598
Sand,Cabral,C10,92.27272727
Sand,Cabral,C11,5.11627907
Sand,Cabral,C12,0.45045045
Sand,Cabral,C13,3.196347032
Sand,Cabral,C14,0
Sand,Cabral,C15,0.456621005
Sand,Cabral,C16,29.51289398
Sand,Cabral,C17,39.02439024
Sand,Cabral,C18,0
Sand,Cabral,C19,2.283105023
Sand,Cabral,C2,11.26126126
Sand,Cabral,C20,78.08219178
Sand,Cabral,C3,0.909090909
Sand,Cabral,C4,38.91402715
Sand,Cabral,C5,41.12149533
Sand,Cabral,C6,18.66666667
Sand,Cabral,C7,32.14285714
Sand,Cabral,C8,45.19230769
Sand,Cabral,C9,3.225806452
Sand,Cabral,CSEEP,100
Sand,Varari,V1,18.48341232
Sand,Varari,V10,3.351955307
Sand,Varari,V11,11.42857143
Sand,Varari,V12,21.75925926
Sand,Varari,V13,44.70046083
Sand,Varari,V14,95.26066351
Sand,Varari,V15,2.293577982
Sand,Varari,V16,61.29032258
Sand,Varari,V17,82.27272727
Sand,Varari,V18,8.040201005
Sand,Varari,V19,40
Sand,Varari,V2,12.62626263
Sand,Varari,V20,77.88944724
Sand,Varari,V3,14.1025641
Sand,Varari,V4,17.71428571
Sand,Varari,V5,24.47257384
Sand,Varari,V6,26.7281106
Sand,Varari,V7,49.55357143
Sand,Varari,V8,16.17647059
Sand,Varari,V9,37.83783784
Sand,Varari,VSEEP,97.5
